NONE	Orthogroup	Aedaeg	Aedalb	Anofun	Anoste	Culpip	Culqui
NONE	OG0000436	2	4	1	1	3	4
NONE	OG0000437	3	6	2	2	1	1
NONE	OG0000438	5	4	0	0	3	3
NONE	OG0000439	13	2	0	0	0	0
NONE	OG0000440	2	2	2	2	5	2
NONE	OG0000441	2	2	2	2	3	4
NONE	OG0000442	3	3	1	2	3	3
NONE	OG0000443	2	10	0	0	3	0
NONE	OG0000444	5	2	0	0	4	4
NONE	OG0000445	3	5	0	1	3	3
NONE	OG0000446	4	4	1	1	2	3
NONE	OG0000447	4	5	1	1	2	2
NONE	OG0000448	3	3	1	1	5	2
NONE	OG0000449	2	2	1	1	6	3
NONE	OG0000450	1	1	1	1	8	3
NONE	OG0000451	1	1	1	1	6	5
NONE	OG0000452	2	2	0	0	8	3
NONE	OG0000453	4	8	0	1	0	2
NONE	OG0000454	1	1	6	5	1	1
NONE	OG0000455	0	15	0	0	0	0
NONE	OG0000456	0	4	0	0	6	5
NONE	OG0000457	0	13	2	0	0	0
NONE	OG0000458	0	15	0	0	0	0
NONE	OG0000459	0	10	0	0	5	0
NONE	OG0000460	0	15	0	0	0	0
NONE	OG0000461	0	15	0	0	0	0
NONE	OG0000462	0	0	0	0	13	2
NONE	OG0000463	0	0	0	0	8	7
NONE	OG0000464	0	0	0	0	10	5
NONE	OG0000465	0	0	0	0	6	9
NONE	OG0000466	0	0	0	0	8	7
NONE	OG0000467	0	10	0	4	0	0
NONE	OG0000468	5	5	2	2	0	0
NONE	OG0000469	3	3	1	2	3	2
NONE	OG0000470	3	3	1	1	3	3
NONE	OG0000471	1	1	4	6	1	1
NONE	OG0000472	3	3	1	1	3	3
NONE	OG0000473	2	2	0	2	4	4
NONE	OG0000474	3	3	1	1	2	4
NONE	OG0000475	4	2	3	1	2	2
NONE	OG0000476	5	3	1	1	2	2
NONE	OG0000477	0	6	1	1	3	3
NONE	OG0000478	1	3	3	1	3	3
NONE	OG0000479	2	2	1	1	4	4
NONE	OG0000480	7	5	1	0	1	0
NONE	OG0000481	6	1	0	0	4	3
NONE	OG0000482	3	3	1	1	3	3
NONE	OG0000483	3	4	1	1	1	4
NONE	OG0000484	4	1	1	1	3	4
NONE	OG0000485	4	4	1	1	2	2
NONE	OG0000486	2	1	3	2	2	4
NONE	OG0000487	5	2	1	1	3	2
NONE	OG0000488	3	3	1	1	3	3
NONE	OG0000489	2	3	2	2	2	3
NONE	OG0000490	2	2	1	1	4	4
NONE	OG0000491	1	1	1	1	5	5
NONE	OG0000492	3	3	1	1	3	3
NONE	OG0000493	1	13	0	0	0	0
NONE	OG0000494	4	4	1	1	3	1
NONE	OG0000495	5	5	0	0	3	1
NONE	OG0000496	4	3	1	1	3	2
NONE	OG0000497	1	2	1	1	5	4
NONE	OG0000498	1	2	0	0	8	3
NONE	OG0000499	2	3	3	2	2	2
NONE	OG0000500	0	13	0	0	1	0
NONE	OG0000501	0	14	0	0	0	0
NONE	OG0000502	0	14	0	0	0	0
NONE	OG0000503	0	14	0	0	0	0
NONE	OG0000504	0	12	1	0	0	1
NONE	OG0000505	0	7	0	0	5	2
NONE	OG0000506	0	11	0	0	2	1
NONE	OG0000507	0	0	1	13	0	0
NONE	OG0000508	0	0	0	0	6	8
NONE	OG0000509	0	0	0	0	11	3
NONE	OG0000510	0	0	0	0	10	4
NONE	OG0000511	2	5	1	2	0	3
NONE	OG0000512	1	1	6	2	2	1
NONE	OG0000513	4	4	1	0	2	2
NONE	OG0000514	2	3	1	1	3	3
NONE	OG0000515	2	2	1	2	3	3
NONE	OG0000516	1	10	0	1	1	0
NONE	OG0000517	3	4	1	1	2	2
NONE	OG0000518	2	2	1	2	4	2
NONE	OG0000519	3	4	1	1	3	1
NONE	OG0000520	3	5	1	0	2	2
NONE	OG0000521	2	2	2	1	3	3
NONE	OG0000522	3	3	1	0	3	3
NONE	OG0000523	3	4	1	1	3	1
NONE	OG0000524	1	2	1	1	4	4
NONE	OG0000525	1	1	5	4	1	1
NONE	OG0000526	2	2	1	1	4	3
NONE	OG0000527	4	3	3	3	0	0
NONE	OG0000528	10	2	0	0	1	0
NONE	OG0000529	4	4	1	1	2	1
NONE	OG0000530	2	4	2	1	2	2
NONE	OG0000531	2	2	1	2	3	3
NONE	OG0000532	1	1	2	2	5	2
NONE	OG0000533	2	2	1	1	3	4
NONE	OG0000534	1	2	1	1	5	3
NONE	OG0000535	2	3	1	1	2	4
NONE	OG0000536	2	2	1	1	4	3
NONE	OG0000537	1	1	1	1	6	3
NONE	OG0000538	3	3	1	1	3	2
NONE	OG0000539	3	2	2	2	2	2
NONE	OG0000540	6	5	0	0	1	1
NONE	OG0000541	3	3	2	1	2	2
NONE	OG0000542	3	3	1	2	2	2
NONE	OG0000543	1	1	1	1	6	3
NONE	OG0000544	5	4	0	0	2	2
NONE	OG0000545	4	3	0	0	3	3
NONE	OG0000546	2	2	3	4	2	0
NONE	OG0000547	1	1	8	2	0	1
NONE	OG0000548	3	3	1	1	2	3
NONE	OG0000549	2	2	1	1	4	3
NONE	OG0000550	3	3	1	1	3	2
NONE	OG0000551	1	12	0	0	0	0
NONE	OG0000552	3	7	0	0	2	1
NONE	OG0000553	2	3	1	1	3	3
NONE	OG0000554	1	2	1	2	3	4
NONE	OG0000555	2	3	1	1	3	3
NONE	OG0000556	2	4	1	1	2	3
NONE	OG0000557	1	1	2	2	4	3
NONE	OG0000558	1	1	1	1	6	3
NONE	OG0000559	1	0	1	1	7	3
NONE	OG0000560	2	2	2	2	3	2
NONE	OG0000561	1	2	3	4	1	2
NONE	OG0000562	3	8	0	0	1	1
NONE	OG0000563	1	1	2	3	3	3
NONE	OG0000564	2	2	2	2	3	2
NONE	OG0000565	0	13	0	0	0	0
NONE	OG0000566	0	13	0	0	0	0
NONE	OG0000567	0	3	0	0	8	2
NONE	OG0000568	0	9	4	0	0	0
NONE	OG0000569	0	0	0	0	6	7
NONE	OG0000570	0	0	0	0	9	4
NONE	OG0000571	0	0	0	0	6	7
NONE	OG0000572	0	2	0	0	1	9
NONE	OG0000573	1	1	0	0	5	5
NONE	OG0000574	2	2	1	1	3	3
NONE	OG0000575	1	1	5	4	1	0
NONE	OG0000576	3	4	0	0	1	4
NONE	OG0000577	0	0	5	6	1	0
NONE	OG0000578	3	4	1	0	2	2
NONE	OG0000579	1	1	7	1	1	1
NONE	OG0000580	2	2	2	2	2	2
NONE	OG0000581	3	3	1	1	2	2
NONE	OG0000582	3	3	0	1	2	3
NONE	OG0000583	5	3	1	1	1	1
NONE	OG0000584	2	3	2	0	2	3
NONE	OG0000585	3	3	3	1	1	1
NONE	OG0000586	3	3	1	1	2	2
NONE	OG0000587	3	3	1	1	2	2
NONE	OG0000588	3	5	1	1	1	1
NONE	OG0000589	2	2	1	1	3	3
NONE	OG0000590	4	4	1	1	1	1
NONE	OG0000591	2	3	1	1	3	2
NONE	OG0000592	0	0	7	4	1	0
NONE	OG0000593	0	0	3	3	3	3
NONE	OG0000594	3	3	0	0	3	3
NONE	OG0000595	1	1	1	1	5	3
NONE	OG0000596	4	3	1	1	2	1
NONE	OG0000597	3	2	1	1	2	3
NONE	OG0000598	8	4	0	0	0	0
NONE	OG0000599	3	2	1	1	3	2
NONE	OG0000600	2	4	1	1	2	2
NONE	OG0000601	7	1	1	1	1	1
NONE	OG0000602	5	5	0	0	1	1
NONE	OG0000603	2	3	1	1	2	3
NONE	OG0000604	1	1	2	2	2	4
NONE	OG0000605	3	7	1	0	1	0
NONE	OG0000606	1	6	0	0	3	2
NONE	OG0000607	2	2	3	2	2	1
NONE	OG0000608	1	1	1	1	3	5
NONE	OG0000609	2	1	1	1	4	3
NONE	OG0000610	7	1	1	1	1	1
NONE	OG0000611	3	3	1	2	1	2
NONE	OG0000612	1	3	0	0	7	1
NONE	OG0000613	2	2	1	2	3	2
NONE	OG0000614	1	1	1	1	6	2
NONE	OG0000615	2	2	1	1	1	5
NONE	OG0000616	2	1	1	1	4	3
NONE	OG0000617	4	3	1	0	2	2
NONE	OG0000618	1	1	3	3	2	2
NONE	OG0000619	3	3	1	1	2	2
NONE	OG0000620	1	2	0	0	5	4
NONE	OG0000621	4	2	1	1	2	2
NONE	OG0000622	2	2	2	2	2	2
NONE	OG0000623	2	2	1	1	3	3
NONE	OG0000624	5	2	0	0	3	2
NONE	OG0000625	1	1	1	5	2	2
NONE	OG0000626	1	2	2	3	2	2
NONE	OG0000627	2	2	2	2	2	2
